,Sample,Dataset,biome_0,biome_1,biome_2,biome_3,biome_4,family,category,mammals
ERS2464054,ERS2464054,MGYS00002388,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS2464055,ERS2464055,MGYS00002388,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS2867115,ERS2867115,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867116,ERS2867116,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867118,ERS2867118,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867119,ERS2867119,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867120,ERS2867120,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867121,ERS2867121,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867122,ERS2867122,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867124,ERS2867124,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867127,ERS2867127,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867128,ERS2867128,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867130,ERS2867130,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2867137,ERS2867137,MGYS00003472,root,Host-associated,Aves,Digestive system,Fecal,Anatidae,Animal,Others
ERS2876942,ERS2876942,MGYS00003605,root,Environmental,Aquatic,Freshwater,Sediment,NA,Environmental,Others
ERS2876943,ERS2876943,MGYS00003605,root,Environmental,Aquatic,Freshwater,Sediment,NA,Environmental,Others
ERS2876944,ERS2876944,MGYS00003605,root,Environmental,Aquatic,Freshwater,Sediment,NA,Environmental,Others
ERS2876945,ERS2876945,MGYS00003605,root,Environmental,Aquatic,Freshwater,Sediment,NA,Environmental,Others
ERS2876946,ERS2876946,MGYS00003605,root,Environmental,Aquatic,Freshwater,Sediment,NA,Environmental,Others
ERS2876947,ERS2876947,MGYS00003605,root,Environmental,Aquatic,Freshwater,Sediment,NA,Environmental,Others
ERS2876948,ERS2876948,MGYS00003605,root,Environmental,Aquatic,Freshwater,Sediment,NA,Environmental,Others
ERS2876949,ERS2876949,MGYS00003605,root,Environmental,Aquatic,Freshwater,Sediment,NA,Environmental,Others
ERS2876950,ERS2876950,MGYS00003605,root,Environmental,Aquatic,Freshwater,Sediment,NA,Environmental,Others
ERS606296,ERS606296,MGYS00001193,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS606314,ERS606314,MGYS00001193,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS606326,ERS606326,MGYS00001193,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS606338,ERS606338,MGYS00001193,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS606394,ERS606394,MGYS00001193,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS606420,ERS606420,MGYS00001193,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS606431,ERS606431,MGYS00001193,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS606451,ERS606451,MGYS00001193,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
ERS612888,ERS612888,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS612889,ERS612889,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS612890,ERS612890,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS612892,ERS612892,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS612893,ERS612893,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS612894,ERS612894,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS612895,ERS612895,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
