Sample	Dataset	biome_0	biome_1	biome_2	biome_3	biome_4	family
ERS723671	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723593	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723663	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723676	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723606	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723624	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723600	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723666	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723638	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723673	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723644	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723639	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723622	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723630	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723597	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723607	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723636	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723627	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723641	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723616	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723632	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723647	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723661	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723609	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
